"","rank","club","country","points"
"640",640,"Asteras Tripolis","Greece",1402
"641",641,"Žilina","Slovakia",1402
"642",642,"Ilves","Finland",1402
"643",643,"Lokomotiv Tashkent","Uzbekistan",1402
"644",644,"Portland Timbers","United States",1402
"645",645,"Portimonense","Portugal",1402
"646",646,"Deportivo Malacateco","Guatemala",1401
"647",647,"Cartaginés","Costa Rica",1401
"648",648,"Gimcheon Sangmu FC","South Korea",1401
"649",649,"Vålerenga","Norway",1401
"650",650,"FC Dinamo Batumi","Georgia",1400
"651",651,"US Monastir","Tunisia",1400
"652",652,"Once Caldas","Colombia",1400
"653",653,"Schalke 04","Germany",1400
"654",654,"Luzern","Switzerland",1400
"655",655,"Veres Rivne","Ukraine",1400
"656",656,"Kashiwa Reysol","Japan",1400
"657",657,"Saturn","Russia",1399
"658",658,"Temperley","Argentina",1399
"659",659,"Resistencia Sport Club","Paraguay",1399
"660",660,"Grenoble","France",1399
"661",661,"CD Antofagasta","Chile",1398
"662",662,"FC Seoul","South Korea",1398
"663",663,"Tractor Sazi","Iran",1398
"664",664,"Željezničar","Bosnia and Herzegovina",1398
"665",665,"Bamboutos","Cameroon",1398
"666",666,"Bari","Italy",1398
"667",667,"Sharjah Cultural Club","United Arab Emirates",1397
"668",668,"RKC Waalwijk","Netherlands",1397
"669",669,"HNK Gorica","Croatia",1397
"670",670,"Cape Town City FC","South Africa",1397
"671",671,"Palermo","Italy",1397
"672",672,"Deportivo Cuenca","Ecuador",1397
"673",673,"FC Emmen","Netherlands",1397
"674",674,"Kano Pillars","Nigeria",1397
"675",675,"Huachipato","Chile",1396
"676",676,"Greuther Fürth","Germany",1396
"677",677,"Defensor Sporting","Uruguay",1396
"678",678,"Ionikos","Greece",1395
"679",679,"PFC Lokomotiv Sofia 1929","Bulgaria",1395
"680",680,"Astra Ploieşti","Romania",1395
"681",681,"Moreirense","Portugal",1395
"682",682,"Bunyodkor Tashkent","Uzbekistan",1395
"683",683,"Motor Action","Zimbabwe",1394
"684",684,"Boulogne","France",1394
"685",685,"CS Alagoano AL","Brazil",1394
"686",686,"Estoril","Portugal",1394
"687",687,"Gamba Osaka","Japan",1394
"688",688,"Danubio","Uruguay",1394
"689",689,"Caen","France",1394
"690",690,"NK Celje","Slovenia",1394
"691",691,"Alianza Petrolera","Colombia",1394
"692",692,"Astres FC de Douala","Cameroon",1393
"693",693,"FUS Rabat","Morocco",1393
"694",694,"Interclube de Angola","Angola",1393
"695",695,"Independiente FBC (Campo Grande)","Paraguay",1393
"696",696,"Grêmio Prudente","Brazil",1393
"697",697,"Sydney FC","Australia",1393
"698",698,"Sligo Rovers","Ireland",1392
"699",699,"Pune FC","India",1392
"700",700,"Mushuc Runa SC","Ecuador",1392
"701",701,"Lokomotiva","Croatia",1392
"702",702,"Slavia Sofia","Bulgaria",1392
"703",703,"Nürnberg","Germany",1391
"704",704,"O'Higgins","Chile",1391
"705",705,"FC Platinum","Zimbabwe",1391
"706",706,"Al-Jazira","United Arab Emirates",1391
"707",707,"Cork City","Ireland",1391
"708",708,"Cercle Brugge","Belgium",1390
"709",709,"FC Orenburg","Russia",1390
"710",710,"Paksi SE","Hungary",1390
"711",711,"Topolski Sportski Club","Serbia",1390
"712",712,"Heracles","Netherlands",1390
"713",713,"Universidad de Chile","Chile",1390
"714",714,"Riga FC","Latvia",1390
"715",715,"Atlanta United FC","United States",1390
"716",716,"Polonia Warszawa","Poland",1390
"717",717,"Royal Pari","Bolivia",1389
"718",718,"Chaves","Portugal",1389
"719",719,"Las Palmas","Spain",1389
"720",720,"FC Ufa","Russia",1389
"721",721,"Port F.C.","Thailand",1389
"722",722,"NK Bravo","Slovenia",1389
"723",723,"Columbus Crew","United States",1389
"724",724,"Borac Banja Luka","Bosnia and Herzegovina",1388
"725",725,"AaB","Denmark",1388
"726",726,"Bohemians 1905","Czech Republic",1388
"727",727,"Mjällby AIF","Sweden",1388
"728",728,"SC Farense","Portugal",1387
"729",729,"Rapid Bucureşti","Romania",1387
"730",730,"Águila","El Salvador",1387
"731",731,"Valenciennes","France",1387
"732",732,"Torpedo Zhodino","Belarus",1386
"733",733,"Colorado Rapids","United States",1386
"734",734,"Club Tijuana","Mexico",1386
"735",735,"Chernomorets Burgas","Bulgaria",1386
"736",736,"AS Nika","Congo DR",1385
"737",737,"Racing Santander","Spain",1385
"738",738,"Parma Calcio 1913","Italy",1385
"739",739,"Carlos A. Mannucci","Peru",1385
"740",740,"Kavala","Greece",1384
"741",741,"Široki Brijeg","Bosnia and Herzegovina",1384
"742",742,"MC Oran","Algeria",1384
"743",743,"Orense SC","Ecuador",1384
"744",744,"Union Sportive de Douala","Cameroon",1384
"745",745,"Maghreb Fès","Morocco",1383
"746",746,"Fortuna Sittard","Netherlands",1383
"747",747,"Gomel","Belarus",1383
"748",748,"Recreativo do Libolo","Angola",1383
"749",749,"Persib Bandung","Indonesia",1383
"750",750,"Supersport United","South Africa",1383
"751",751,"Hradec Králové","Czech Republic",1383
"752",752,"Avaí FC","Brazil",1383
"753",753,"Norwich City","England",1382
"754",754,"Nacional Potosí","Bolivia",1382
"755",755,"FC Vizela","Portugal",1382
"756",756,"Kabuscorp SCP","Angola",1382
"757",757,"Gyeongnam FC","South Korea",1382
"758",758,"FC Dallas","United States",1382
"759",759,"Incheon United","South Korea",1382
"760",760,"NEC Nijmegen","Netherlands",1382
"761",761,"Paradou AC","Algeria",1382
"762",762,"Al Masry","Egypt",1381
"763",763,"Séwé","Ivory Coast",1381
"764",764,"Lobos B.U.A.P.","Mexico",1381
"765",765,"Ironi Kiryat Schmona","Israel",1380
"766",766,"Águilas Doradas","Colombia",1380
"767",767,"Universidad Concepción","Chile",1380
"768",768,"Club Deportivo Maldonado","Uruguay",1380
"769",769,"Voždovac","Serbia",1379
"770",770,"CD Jaguares","Colombia",1379
"771",771,"Jorge Wilstermann","Bolivia",1379
"772",772,"Hapoel Tel Aviv","Israel",1379
"773",773,"Hearts of Oak","Ghana",1378
"774",774,"Kalmar FF","Sweden",1378
"775",775,"Consadole Sapporo","Japan",1378
"776",776,"Al Fateh FC","Saudi Arabia",1378
"777",777,"Qäbälä","Azerbaijan",1377
"778",778,"CS Deportivo Pereira","Colombia",1377
"779",779,"Chievo Verona","Italy",1377
"780",780,"FK Pardubice","Czech Republic",1377
"781",781,"Real Estelí","Nicaragua",1376
"782",782,"Bursaspor","Turkey",1376
"783",783,"Persipura Jayapura","Indonesia",1376
"784",784,"Kwara United","Nigeria",1376
"785",785,"UMS de Loum","Cameroon",1376
"786",786,"Servette","Switzerland",1376
"787",787,"Paraná Clube","Brazil",1376
"788",788,"Al Ahly Shendi","Sudan",1376
"789",789,"Shanghai Shenhua","China PR",1376
"790",790,"Al Nasr","United Arab Emirates",1376
"791",791,"Sevilla FC Puerto Rico","Puerto Rico",1375
"792",792,"Nueve de Octubre","Ecuador",1375
"793",793,"Brescia","Italy",1375
"794",794,"Újpest","Hungary",1375
"795",795,"Hibernian","Scotland",1375
"796",796,"Real Salt Lake","United States",1375
"797",797,"Defence Force FC","Trinidad and Tobago",1375
"798",798,"Club Atletico Progreso","Uruguay",1374
"799",799,"Eding Sport FC","Cameroon",1374
"800",800,"Cerro Largo","Uruguay",1374
"801",801,"Willem II","Netherlands",1374
"802",802,"Young Sport Academy Bamenda","Cameroon",1374
"803",803,"PAS Giannina","Greece",1374
"804",804,"Arsenal Tula","Russia",1374
"805",805,"Seinaejoen JK","Finland",1373
"806",806,"Bali United","Indonesia",1373
"807",807,"Giresunspor","Turkey",1373
"808",808,"Randers FC","Denmark",1373
"809",809,"Tauro FC","Panama",1373
"810",810,"Osmanlıspor FK","Turkey",1373
"811",811,"Neman Grodno","Belarus",1373
"812",812,"FC CSKA 1948 Sofia","Bulgaria",1373
"813",813,"CAPS United","Zimbabwe",1372
"814",814,"Cracovia Kraków","Poland",1372
"815",815,"Salgaocar","India",1372
"816",816,"Changchun Yatai","China PR",1372
"817",817,"Nejmeh SC","Lebanon",1372
"818",818,"River Plate Ecuador","Ecuador",1371
"819",819,"Kayserispor","Turkey",1371
"820",820,"Vitória Setúbal","Portugal",1371
"821",821,"ASO Chlef","Algeria",1371
"822",822,"Leones Negros U. de G.","Mexico",1371
"823",823,"Arema","Indonesia",1371
"824",824,"Al-Faisaly FC Harmah","Saudi Arabia",1371
"825",825,"Deportivo Pasto","Colombia",1370
"826",826,"FC Torpedo Moscow","Russia",1370
"827",827,"Sarmiento","Argentina",1370
"828",828,"Pandurii Târgu Jiu","Romania",1370
"829",829,"El Geish","Egypt",1370
"830",830,"Hekari United","Papua New Guinea",1370
"831",831,"Hassania Agadir","Morocco",1370
"832",832,"Ajaccio","France",1369
"833",833,"Standard Liège","Belgium",1369
"834",834,"CD Vida","Honduras",1369
"835",835,"Al Khartoum SC","Sudan",1369
"836",836,"Deportes Temuco","Chile",1369
"837",837,"Livingston FC","Scotland",1369
"838",838,"Rukh Vynnyky","Ukraine",1369
"839",839,"AmaZulu FC","South Africa",1369
"840",840,"Sporting Kansas City","United States",1368
"841",841,"PEC Zwolle","Netherlands",1368
"842",842,"Nasarawa United","Nigeria",1368
"843",843,"Ashanti Gold FC","Ghana",1368
"844",844,"Minnesota United","United States",1368
"845",845,"Samsunspor","Turkey",1367
"846",846,"12 de Octubre de Itaugua","Paraguay",1367
"847",847,"Beitar Jerusalem FC","Israel",1367
"848",848,"Strømsgodset","Norway",1367
"849",849,"Jeanne d'Arc de Bamako","Mali",1367
"850",850,"Al-Ittihad","Libya",1367
"851",851,"Iraklis","Greece",1367
"852",852,"Irtysh Pavlodar","Kazakhstan",1367
"853",853,"AGF","Denmark",1367
"854",854,"Unisport FC Du Haut-Nkam","Cameroon",1367
"855",855,"Stade Renard de Melong","Cameroon",1367
"856",856,"Excelsior","Netherlands",1366
"857",857,"AL Ansar SC","Lebanon",1366
"858",858,"FC Veris","Moldova",1366
"859",859,"FC Arda Kardzhali","Bulgaria",1366
"860",860,"Waitakere United","New Zealand",1366
"861",861,"Volos New Football Club","Greece",1366
"862",862,"Thun","Switzerland",1366
"863",863,"CD Plaza Amador","Panama",1366
"864",864,"Hwange","Zimbabwe",1365
"865",865,"Coban Imperial","Guatemala",1365
"866",866,"Apejes de Mfou","Cameroon",1365
"867",867,"Marathón","Honduras",1364
"868",868,"FK Zirka Kirovohrad","Ukraine",1364
"869",869,"Nordsjælland","Denmark",1364
"870",870,"Zanaco","Zambia",1364
"871",871,"Olympiakos Nicosia","Cyprus",1364
"872",872,"Canon Sportif","Cameroon",1364
"873",873,"CF Montreal","Canada",1364
"874",874,"Chiangrai United","Thailand",1363
"875",875,"Gornik Zabrze","Poland",1363
"876",876,"Mes Rafsanjan","Iran",1363
"877",877,"Córdoba CF","Spain",1363
"878",878,"Aris Limassol","Cyprus",1362
"879",879,"Sarpsborg 08","Norway",1362
"880",880,"Aduana Stars","Ghana",1362
"881",881,"Aktobe","Kazakhstan",1362
"882",882,"Atromitos","Greece",1362
"883",883,"FC Lahti","Finland",1362
"884",884,"Sunshine Stars","Nigeria",1361
"885",885,"Cliftonville","Northern Ireland",1361
"886",886,"Mouscron-Péruwelz","Belgium",1361
"887",887,"Aberdeen","Scotland",1361
"888",888,"Chonburi FC","Thailand",1361
"889",889,"Lobi Stars","Nigeria",1361
"890",890,"Cobreloa","Chile",1361
"891",891,"Sagrada Esperança","Angola",1361
"892",892,"Colombe du Dja et Lobo","Cameroon",1361
"893",893,"AL Ettifaq FC","Saudi Arabia",1361
"894",894,"Sanga Balende","Congo DR",1360
"895",895,"Persija Jakarta","Indonesia",1360
"896",896,"Future FC","Egypt",1360
"897",897,"Lamontville Golden Arrows","South Africa",1360
"898",898,"Stellenbosch FC","South Africa",1360
"899",899,"Newtown","Wales",1360
"900",900,"Deportiva San Carlos","Costa Rica",1359
"901",901,"Trenčín","Slovakia",1359
"902",902,"Sion","Switzerland",1359
"903",903,"Churchill Brothers SC","India",1359
"904",904,"Xanthi FC","Greece",1359
"905",905,"Crusaders","Northern Ireland",1359
"906",906,"Cesena","Italy",1359
"907",907,"Arouca","Portugal",1359
"908",908,"Feutcheu FC","Cameroon",1359
"909",909,"Rubio Ñú","Paraguay",1359
"910",910,"Eastern Suburbs","New Zealand",1359
"911",911,"FK Radnik Surdulica","Serbia",1358
"912",912,"Medeama SC","Ghana",1358
"913",913,"Técnico Universitario","Ecuador",1358
"914",914,"Gualaceo SC","Ecuador",1358
"915",915,"Huddersfield Town","England",1358
"916",916,"Quilmes","Argentina",1358
"917",917,"Santa Lucia Cotzumalguapa","Guatemala",1358
"918",918,"AS Fortuna","Cameroon",1358
"919",919,"Jaguares Chiapas","Mexico",1358
"920",920,"FC Nizhny Novgorod","Russia",1357
"921",921,"CA Bizertin","Tunisia",1357
"922",922,"Fovu de Baham","Cameroon",1357
"923",923,"Honvéd","Hungary",1357
"924",924,"Deportivo Binacional","Peru",1357
"925",925,"Abia Warriors","Nigeria",1357
"926",926,"Diriangén FC","Nicaragua",1357
"927",927,"FK Riteriai","Lithuania",1357
"928",928,"FC Skonto Riga","Latvia",1357
"929",929,"Gangwon FC","South Korea",1357
"930",930,"Bhayangkara FC","Indonesia",1357
"931",931,"Difaâ El Jadida","Morocco",1357
"932",932,"Deportivo Lara","Venezuela",1356
"933",933,"Gostaresh Foolad","Iran",1356
"934",934,"Eastern Stars","Papua New Guinea",1356
"935",935,"Belenenses","Portugal",1356
"936",936,"Oud-Heverlee Leuven","Belgium",1356
"937",937,"Elazığspor","Turkey",1356
"938",938,"Patriotas Boyacá","Colombia",1356
"939",939,"Farul Constanța","Romania",1355
"940",940,"Melipilla","Chile",1355
"941",941,"Zamora FC","Venezuela",1355
"942",942,"Liga de Loja","Ecuador",1355
"943",943,"San Pedro","Ivory Coast",1355
"944",944,"Sportivo Luqueño","Paraguay",1354
"945",945,"Waterhouse FC","Jamaica",1354
"946",946,"Kryvbas","Ukraine",1354
"947",947,"Naft Tehran","Iran",1354
"948",948,"Al Shabab","United Arab Emirates",1354
"949",949,"AL Gharafa","Qatar",1354
"950",950,"Ben Guerdane","Tunisia",1354
"951",951,"Damac FC","Saudi Arabia",1354
"952",952,"Royal AM","South Africa",1354
"953",953,"Monomatapa United","Zimbabwe",1353
"954",954,"Port Talbot","Wales",1353
"955",955,"SO Armée","Ivory Coast",1353
"956",956,"Adelaide United","Australia",1353
"957",957,"České Budějovice","Czech Republic",1353
"958",958,"Isloch","Belarus",1353
"959",959,"León de Huánuco","Peru",1353
"960",960,"Bengaluru FC","India",1353
"961",961,"Santos de Guápiles","Costa Rica",1353
"962",962,"Ajax","Congo DR",1352
"963",963,"FC Energetik-BGU Minsk","Belarus",1352
"964",964,"Tukoko University","Papua New Guinea",1352
"965",965,"Jagiellonia Białystok","Poland",1352
"966",966,"Gold Coast United","Australia",1352
"967",967,"Shkupi Skopje","Macedonia",1352
"968",968,"Debrecen","Hungary",1352
"969",969,"Odense Boldklub","Denmark",1352
"970",970,"Simba SC","Tanzania",1351
"971",971,"Saburtalo","Georgia",1351
"972",972,"FC Voluntari","Romania",1351
"973",973,"El Tanque Sisley","Uruguay",1350
"974",974,"Iztapa","Guatemala",1350
"975",975,"Imbabura","Ecuador",1350
"976",976,"CD UT Cajamarca","Peru",1350
"977",977,"Central Español","Uruguay",1350
"978",978,"Uniao da Madeira","Portugal",1350
"979",979,"Masvingo United","Zimbabwe",1350
"980",980,"National Bank","Egypt",1350
"981",981,"Chorrillo","Panama",1350
"982",982,"Cambuur","Netherlands",1349
"983",983,"Pwd Bamenda","Cameroon",1349
"984",984,"MC El Eulma","Algeria",1349
"985",985,"Oriente Petrolero","Bolivia",1349
"986",986,"Sanat Naft Abadan","Iran",1349
"987",987,"Coleraine","Northern Ireland",1349
"988",988,"Benfica Luanda","Angola",1349
"989",989,"FK Liepājas Metalurgs","Latvia",1349
"990",990,"Suwon FC","South Korea",1349
"991",991,"Waterford FC","Ireland",1348
"992",992,"Mes Kerman","Iran",1348
"993",993,"Orlando City","United States",1348
"994",994,"Roda JC Kerkrade","Netherlands",1348
"995",995,"Cusco FC","Peru",1347
"996",996,"Paykan F.C.","Iran",1347
"997",997,"Vardar Skopje","Macedonia",1347
"998",998,"Sport Boys","Peru",1347
"999",999,"Olimpo","Argentina",1347
"1000",1000,"OFI Crete","Greece",1347
"1001",1001,"Giwa FC","Nigeria",1347
"1002",1002,"Berekum Chelsea FC","Ghana",1346
"1003",1003,"Zob Ahan Isfahan FC","Iran",1346
"1004",1004,"FK Mladost Lučani","Serbia",1346
"1005",1005,"Eskişehirspor","Turkey",1346
"1006",1006,"Tiko United","Cameroon",1346
"1007",1007,"Saba Qom","Iran",1345
"1008",1008,"Spartak Myjava","Slovakia",1345
"1009",1009,"Akhisar Belediye","Turkey",1345
"1010",1010,"Sharks","Nigeria",1345
"1011",1011,"KS Warta Poznań","Poland",1345
"1012",1012,"Deportes Iquique","Chile",1345
"1013",1013,"Bnei Yehuda Tel Aviv FC","Israel",1345
"1014",1014,"Llanelli","Wales",1345
"1015",1015,"Arles","France",1344
"1016",1016,"Kristiansund BK","Norway",1344
"1017",1017,"MCO Oujda","Morocco",1344
"1018",1018,"Al-Faisaly SC Amman","Jordan",1344
"1019",1019,"KV Oostende","Belgium",1344
"1020",1020,"Keşlə Futbol Klubu","Azerbaijan",1343
"1021",1021,"Beira-Mar","Portugal",1343
"1022",1022,"Ayacucho FC","Peru",1343
"1023",1023,"Mezőkövesd-Zsóry","Hungary",1343
"1024",1024,"Recreativo da Caála","Angola",1343
"1025",1025,"Sport Áncash","Peru",1343
"1026",1026,"LA Galaxy","United States",1343
"1027",1027,"Sporting Gagnoa","Ivory Coast",1343
"1028",1028,"Zaria Bălți","Moldova",1343
"1029",1029,"San Luis FC","Mexico",1343
"1030",1030,"Glentoran","Northern Ireland",1342
"1031",1031,"W Connection FC","Trinidad and Tobago",1342
"1032",1032,"Al Mokawloon Al Arab","Egypt",1342
"1033",1033,"Rizespor","Turkey",1342
"1034",1034,"Red Arrows","Zambia",1342
"1035",1035,"Rangers","Chile",1342
"1036",1036,"Zagłębie Lubin","Poland",1342
"1037",1037,"Erzurum BB","Turkey",1342
"1038",1038,"Dorados Sinaloa","Mexico",1342
"1039",1039,"New Soger","Congo DR",1342
"1040",1040,"Ismaily SC","Egypt",1342
"1041",1041,"Dundee United","Scotland",1341
"1042",1042,"Dila Gori","Georgia",1341
"1043",1043,"Vysočina Jihlava","Czech Republic",1341
"1044",1044,"Sirius","Sweden",1341
"1045",1045,"Kortrijk","Belgium",1341
"1046",1046,"Deportivo Municipal","Peru",1341
"1047",1047,"Deportivo Quevedo","Ecuador",1341
"1048",1048,"Nassaji Mazandaran","Iran",1341
"1049",1049,"Śląsk Wrocław","Poland",1341
"1050",1050,"Unión Comercio","Peru",1341
"1051",1051,"TSV Hartberg","Austria",1340
"1052",1052,"Odds Ballklubb","Norway",1340
"1053",1053,"Manta","Ecuador",1340
"1054",1054,"Al-Ittihad Al-Sakandary","Egypt",1340
"1055",1055,"Motherwell","Scotland",1340
"1056",1056,"Warri Wolves FC","Nigeria",1340
"1057",1057,"Júbilo Iwata","Japan",1340
"1058",1058,"Santiago Morning","Chile",1340
"1059",1059,"SC Chabab Mohammédia","Morocco",1340
"1060",1060,"Khazar Lankaran FK","Azerbaijan",1340
"1061",1061,"Tondela","Portugal",1340
"1062",1062,"Asociación Deportiva Tarma (ADT)","Peru",1340
"1063",1063,"Sloboda Užice","Serbia",1340
"1064",1064,"Coquimbo Unido","Chile",1340
"1065",1065,"Nea Salamis","Cyprus",1339
"1066",1066,"Livorno","Italy",1339
"1067",1067,"Rentistas","Uruguay",1339
"1068",1068,"Mordovia Saransk","Russia",1339
"1069",1069,"De Graafschap","Netherlands",1339
"1070",1070,"Chacarita Juniors","Argentina",1339
"1071",1071,"JSM Béjaïa","Algeria",1339
"1072",1072,"Shakhter Karagandy","Kazakhstan",1339
"1073",1073,"Cumbayá FC","Ecuador",1339
"1074",1074,"FK Haugesund","Norway",1339
"1075",1075,"FK Tuzla City","Bosnia and Herzegovina",1339
"1076",1076,"Charlotte FC","Uruguay",1339
"1077",1077,"FC Bravos DO Maquis","Angola",1339
"1078",1078,"Hapoel Hadera","Israel",1339
"1079",1079,"Dijon","France",1339
"1080",1080,"Chapecoense AF","Brazil",1338
"1081",1081,"US Biskra","Algeria",1338
"1082",1082,"Tacuary","Paraguay",1338
"1083",1083,"CA Palmaflor","Bolivia",1338
"1084",1084,"CD FAS","El Salvador",1338
"1085",1085,"Tigres FC","Colombia",1338
"1086",1086,"Wikki Tourist","Nigeria",1338
"1087",1087,"Power Dynamos","Zambia",1338
"1088",1088,"WSG Tirol","Austria",1338
"1089",1089,"Viborg","Denmark",1338
"1090",1090,"Deportes La Serena","Chile",1338
"1091",1091,"Baniyas","United Arab Emirates",1337
"1092",1092,"Radomiak Radom","Poland",1337
"1093",1093,"Silkeborg","Denmark",1337
"1094",1094,"Naval 1º de Maio","Portugal",1337
"1095",1095,"Unión San Felipe","Chile",1336
"1096",1096,"Khimki","Russia",1336
"1097",1097,"Zirə","Azerbaijan",1336
"1098",1098,"AFC UTA Arad","Romania",1336
"1099",1099,"Bloemfontein Celtic","South Africa",1336
"1100",1100,"Moghreb Tétouan","Morocco",1336
"1101",1101,"Canterbury United","New Zealand",1336
"1102",1102,"Shooting Stars","Nigeria",1336
"1103",1103,"San Marcos","Chile",1336
"1104",1104,"Katsina United","Nigeria",1336
"1105",1105,"SPAL 2013","Italy",1336
"1106",1106,"Wisła Płock","Poland",1335
"1107",1107,"AS Rejiche","Tunisia",1335
"1108",1108,"Club Atlético Grau","Peru",1335
"1109",1109,"El Nacional","Ecuador",1335
"1110",1110,"Grasshopper Club Zürich","Switzerland",1335
"1111",1111,"Sud América","Uruguay",1335
"1112",1112,"Ma Pau","Trinidad and Tobago",1334
"1113",1113,"FK AGMK","Uzbekistan",1334
"1114",1114,"Omiya Ardija","Japan",1334
"1115",1115,"Gombe United","Nigeria",1334
"1116",1116,"Ajax Cape Town","South Africa",1334
"1117",1117,"Carabobo FC","Venezuela",1334
"1118",1118,"AS Magenta","New Caledonia",1334
"1119",1119,"Argeș Pitești","Romania",1333
"1120",1120,"Ittihad Tanger","Morocco",1333
"1121",1121,"Zavrč","Slovenia",1333
"1122",1122,"FC Ashdod","Israel",1333
"1123",1123,"Deportivo Capiatá","Paraguay",1333
"1124",1124,"Niger Tornadoes","Nigeria",1333
"1125",1125,"Hilal Al-Obayed","Sudan",1333
"1126",1126,"Kecskeméti TE","Hungary",1333
"1127",1127,"Al-Arabi Doha","Qatar",1332
"1128",1128,"Oţelul Galaţi","Romania",1332
"1129",1129,"Stal Kamianske","Ukraine",1331
"1130",1130,"Znojmo","Czech Republic",1331
"1131",1131,"FC Juárez","Mexico",1331
"1132",1132,"Al-Jazeera Amman","Jordan",1331
"1133",1133,"Bella Vista","Uruguay",1331
"1134",1134,"Narva Trans","Estonia",1331
"1135",1135,"AD Grecia FC","Costa Rica",1331
"1136",1136,"Racing Club","Uruguay",1331
"1137",1137,"Zhetysu Taldykorgan","Kazakhstan",1331
"1138",1138,"Cortuluá","Colombia",1331
"1139",1139,"MyPa","Finland",1330
"1140",1140,"Larne FC","Northern Ireland",1330
"1141",1141,"AS Slimane","Tunisia",1330
"1142",1142,"Aluminium Arak","Iran",1330
"1143",1143,"Varbergs BoIS","Sweden",1330
"1144",1144,"Sport Colombia","Paraguay",1330
"1145",1145,"Austin FC","Uruguay",1330
"1146",1146,"Annaba","Algeria",1330
"1147",1147,"HB Chelghoum Laïd","Algeria",1330
"1148",1148,"Persebaya Surabaya","Indonesia",1330
"1149",1149,"Slavia-Mozyr","Belarus",1330
"1150",1150,"Ventspils","Latvia",1330
"1151",1151,"Bakı","Azerbaijan",1330
"1152",1152,"Academia F. Amadou Diallo","Ivory Coast",1330
"1153",1153,"General Caballero","Paraguay",1330
"1154",1154,"SK Brann","Norway",1329
"1155",1155,"OCK Khouribga","Morocco",1329
"1156",1156,"Braşov","Romania",1329
"1157",1157,"Monagas SC","Venezuela",1329
"1158",1158,"Olhanense","Portugal",1329
"1159",1159,"Inverness CT","Scotland",1329
"1160",1160,"Olympic Club de Safi","Morocco",1328
"1161",1161,"FC Arsenal Kiev","Ukraine",1328
"1162",1162,"Independiente de La Chorrera","Panama",1328
"1163",1163,"Árabe Unido","Panama",1328
"1164",1164,"Club River Plate","Paraguay",1328
"1165",1165,"Stade Gabésien","Tunisia",1328
"1166",1166,"Petrolul Ploieşti","Romania",1328
"1167",1167,"Sevastopol","Ukraine",1328
"1168",1168,"Léopards de Dolisié","Congo",1328
"1169",1169,"FK Inhulets' Petrove","Ukraine",1328
"1170",1170,"Rhyl","Wales",1328
"1171",1171,"Stade Tunisien","Tunisia",1328
"1172",1172,"US Tataouine","Tunisia",1328
"1173",1173,"Highlands Park","South Africa",1328
"1174",1174,"Royal Excel Mouscron Péruwelz","Belgium",1328
"1175",1175,"Club Petrolero","Bolivia",1328
"1176",1176,"Cardiff Met University","Wales",1328
"1177",1177,"Sfîntul Gheorghe","Moldova",1327
"1178",1178,"FC U Craiova 1948","Romania",1327
"1179",1179,"Botafogo FC","Cameroon",1327
"1180",1180,"Independiente Petrolero","Bolivia",1327
"1181",1181,"Uniautónoma FC","Colombia",1327
"1182",1182,"Košice","Slovakia",1327
"1183",1183,"Pharco FC","Egypt",1327
"1184",1184,"Pusamania Borneo FC","Indonesia",1326
"1185",1185,"Gwangju FC","South Korea",1326
"1186",1186,"2 de Mayo","Paraguay",1326
"1187",1187,"FC Minsk","Belarus",1326
"1188",1188,"Blooming","Bolivia",1326
"1189",1189,"Metalist 1925 Kharkiv","Ukraine",1326
"1190",1190,"Heart of Lions","Ghana",1326
"1191",1191,"Tianjin Tianhai","China PR",1326
"1192",1192,"Panionios","Greece",1326
"1193",1193,"Ittihad El-Shorta","Egypt",1326
"1194",1194,"Deportivo Walter Ferretti","Nicaragua",1325
"1195",1195,"Atlante","Mexico",1325
"1196",1196,"Roeselare","Belgium",1325
"1197",1197,"Malavan","Iran",1325
"1198",1198,"Orduspor","Turkey",1325
"1199",1199,"Avispa Fukuoka","Japan",1325
"1200",1200,"Melbourne Victory","Australia",1325
"1201",1201,"Sportivo Ameliano","Paraguay",1325
"1202",1202,"Balıkesirspor","Turkey",1325
"1203",1203,"Bukola Babes","Nigeria",1325
"1204",1204,"Xelajú","Guatemala",1324
"1205",1205,"Bnei Sakhnin","Israel",1324
"1206",1206,"Horoya AC","Guinea",1324
"1207",1207,"Pars Jonoubi Jam","Iran",1324
"1208",1208,"SK Austria Klagenfurt","Austria",1324
"1209",1209,"3 de Febrero","Paraguay",1324
"1210",1210,"FK Gorodeya","Belarus",1324
"1211",1211,"USM El Harrach","Algeria",1324
"1212",1212,"Kilmarnock","Scotland",1324
"1213",1213,"Go Ahead Eagles","Netherlands",1324
"1214",1214,"Deportivo Los Caimanes","Peru",1323
"1215",1215,"Vancouver Whitecaps","Canada",1323
"1216",1216,"Hajduk Kula","Serbia",1323
"1217",1217,"Seongnam FC","South Korea",1323
"1218",1218,"Pécsi MFC","Hungary",1323
"1219",1219,"Sport Loreto","Peru",1323
"1220",1220,"Valmiera FK","Latvia",1323
"1221",1221,"FC Chindia Târgovişte","Romania",1323
"1222",1222,"Triangle FC","Zimbabwe",1323
"1223",1223,"FK Spartak Subotica","Serbia",1323
"1224",1224,"Simurq","Azerbaijan",1323
"1225",1225,"Juan Aurich","Peru",1322
"1226",1226,"Defensor La Bocana","Peru",1322
"1227",1227,"Sportivo San Lorenzo","Paraguay",1322
"1228",1228,"Africa Sports National","Ivory Coast",1322
"1229",1229,"NK Tabor Sežana","Slovenia",1322
