"","rank","club","country","points"
"151",151,"FC Twente","Netherlands",1576
"152",152,"Bodø / Glimt","Norway",1574
"153",153,"Maccabi Haifa FC","Israel",1574
"154",154,"Nacional","Uruguay",1573
"155",155,"Steaua Bucureşti","Romania",1573
"156",156,"Elche","Spain",1573
"157",157,"Litex Lovech","Bulgaria",1573
"158",158,"CSKA Moskva","Russia",1572
"159",159,"LDU de Quito","Ecuador",1571
"160",160,"Qarabağ","Azerbaijan",1571
"161",161,"Esteghlal","Iran",1570
"162",162,"Bologna","Italy",1569
"163",163,"Augsburg","Germany",1569
"164",164,"Slovácko","Czech Republic",1567
"165",165,"Dinamo Moskva","Russia",1567
"166",166,"Burnley","England",1567
"167",167,"Bochum","Germany",1567
"168",168,"Yokohama F. Marinos","Japan",1567
"169",169,"Dacia Chisinau","Moldova",1567
"170",170,"Gent","Belgium",1565
"171",171,"FC Basel","Switzerland",1563
"172",172,"Ferencváros","Hungary",1562
"173",173,"Barcelona SC","Ecuador",1561
"174",174,"Lanús","Argentina",1561
"175",175,"Peñarol","Uruguay",1559
"176",176,"VfB Stuttgart","Germany",1559
"177",177,"RSC Anderlecht","Belgium",1559
"178",178,"El Zamalek","Egypt",1557
"179",179,"RCD Espanyol","Spain",1557
"180",180,"Sampdoria","Italy",1556
"181",181,"América Mineiro","Brazil",1556
"182",182,"Portuguesa","Brazil",1554
"183",183,"PFC CSKA Sofia","Bulgaria",1554
"184",184,"SD Huesca","Spain",1553
"185",185,"Emelec","Ecuador",1552
"186",186,"Panathinaikos","Greece",1552
"187",187,"Malmö FF","Sweden",1552
"188",188,"Granada","Spain",1551
"189",189,"Lokomotiv Astana","Kazakhstan",1549
"190",190,"Osijek","Croatia",1549
"191",191,"Bahia","Brazil",1548
"192",192,"RCA Raja Casablanca Athletic","Morocco",1548
"193",193,"Al Nassr","Saudi Arabia",1548
"194",194,"Unión Santa Fe","Argentina",1547
"195",195,"HJK Helsinki","Finland",1547
"196",196,"Independiente","Argentina",1546
"197",197,"Southampton","England",1545
"198",198,"Lokomotiv Moskva","Russia",1544
"199",199,"CR Belouizdad","Algeria",1544
"200",200,"Bolívar","Bolivia",1542
"201",201,"Universidad Católica","Ecuador",1542
"202",202,"Girona","Spain",1542
"203",203,"Atlético Nacional","Colombia",1542
"204",204,"FC Krasnodar","Russia",1541
"205",205,"Fortuna Düsseldorf","Germany",1541
"206",206,"Hajduk Split","Croatia",1541
"207",207,"KuPS","Finland",1540
"208",208,"Maribor","Slovenia",1540
"209",209,"Shanghai Port F.C.","China PR",1539
"210",210,"Argentinos Juniors","Argentina",1539
"211",211,"Hamburger SV","Germany",1539
"212",212,"AIK","Sweden",1538
"213",213,"Guaraní","Paraguay",1538
"214",214,"Reims","France",1538
"215",215,"Dnipro Dnipropetrovsk","Ukraine",1536
"216",216,"Dinamo Minsk","Belarus",1536
"217",217,"Huracán","Argentina",1533
"218",218,"İstanbul Başakşehir","Turkey",1533
"219",219,"Kashima Antlers","Japan",1532
"220",220,"Union St.Gilloise","Belgium",1532
"221",221,"Ingolstadt","Germany",1532
"222",222,"Mallorca","Spain",1530
"223",223,"AEK","Greece",1530
"224",224,"Fortaleza","Colombia",1530
"225",225,"APOEL Nicosia","Cyprus",1530
"226",226,"Spartak Moskva","Russia",1530
"227",227,"PFC Sochi","Russia",1530
"228",228,"Atlas","Mexico",1529
"229",229,"Carpi","Italy",1528
"230",230,"Vita Club","Congo DR",1528
"231",231,"Buriram United","Thailand",1527
"232",232,"The Strongest","Bolivia",1527
"233",233,"León","Mexico",1526
"234",234,"Rayo Vallecano","Spain",1526
"235",235,"Aris Thessaloniki FC","Greece",1526
"236",236,"Cruz Azul","Mexico",1526
"237",237,"Stoke City","England",1526
"238",238,"CS Universitatea Craiova","Romania",1525
"239",239,"Rosario Central","Argentina",1525
"240",240,"Gimnasia y Esgrima La Plata","Argentina",1525
"241",241,"LD Alajuelense","Costa Rica",1524
"242",242,"Galatasaray","Turkey",1524
"243",243,"AEK Larnaca","Cyprus",1523
"244",244,"FBC Melgar","Peru",1522
"245",245,"Guadalajara","Mexico",1522
"246",246,"Omonia Nicosia","Cyprus",1521
"247",247,"Olimpia","Honduras",1521
"248",248,"Seattle Sounders FC","United States",1521
"249",249,"Al-Ain FC","United Arab Emirates",1520
"250",250,"Santos Laguna","Mexico",1520
"251",251,"Rijeka","Croatia",1519
"252",252,"Kairat Almaty","Kazakhstan",1519
"253",253,"EC Juventude","Brazil",1519
"254",254,"Colo Colo","Chile",1517
